n.batch	batch.size	n.job	sec
100	1	1	1.13179
100	1	2	0.700844
100	1	3	0.461062
100	1	4	0.485724
100	1	5	0.411439
100	1	6	0.390992
100	1	7	0.388982
100	1	8	0.424788
100	1	9	0.374365
100	1	10	0.425344
100	1	11	0.391405
100	1	12	0.397894
100	1	13	0.452132
100	1	14	0.432769
100	1	15	0.451506
100	1	16	0.446513
50	2	1	1.072142
50	2	2	0.686066
51	2	3	0.449673
50	2	4	0.458329
51	2	5	0.394351
52	2	6	0.371387
52	2	7	0.345952
52	2	8	0.367862
53	2	9	0.322037
53	2	10	0.369156
53	2	11	0.325774
53	2	12	0.334413
53	2	13	0.349821
55	2	14	0.395473
56	2	15	0.426786
54	2	16	0.36306
34	3	1	1.090313
34	3	2	0.694763
34	3	3	0.441911
35	3	4	0.455235
36	3	5	0.385536
36	3	6	0.365436
35	3	7	0.333003
37	3	8	0.354644
36	3	9	0.332221
37	3	10	0.368268
38	3	11	0.324958
38	3	12	0.310493
38	3	13	0.307782
38	3	14	0.359011
39	3	15	0.357249
39	3	16	0.343837
25	4	1	1.119859
26	4	2	0.706004
27	4	3	0.445728
26	4	4	0.445222
26	4	5	0.392893
28	4	6	0.359714
28	4	7	0.335694
28	4	8	0.342944
29	4	9	0.320287
30	4	10	0.36823
28	4	11	0.319394
30	4	12	0.29567
29	4	13	0.315147
31	4	14	0.321832
31	4	15	0.331269
29	4	16	0.324525
20	5	1	1.084968
21	5	2	0.694045
21	5	3	0.447134
22	5	4	0.4456
22	5	5	0.375302
23	5	6	0.354113
22	5	7	0.326067
24	5	8	0.343662
22	5	9	0.322332
23	5	10	0.366416
25	5	11	0.310173
25	5	12	0.307415
26	5	13	0.299197
25	5	14	0.315798
26	5	15	0.359299
28	5	16	0.333342
17	6	1	1.126956
18	6	2	0.69162
18	6	3	0.43297
18	6	4	0.441047
19	6	5	0.378514
19	6	6	0.376042
20	6	7	0.321833
20	6	8	0.337972
21	6	9	0.318347
21	6	10	0.378155
22	6	11	0.330096
21	6	12	0.308188
23	6	13	0.338765
23	6	14	0.324574
25	6	15	0.347909
24	6	16	0.336052
15	7	1	1.080824
15	7	2	0.703736
16	7	3	0.449176
17	7	4	0.443311
16	7	5	0.404643
17	7	6	0.35897
17	7	7	0.329896
18	7	8	0.348837
20	7	9	0.316554
19	7	10	0.368317
17	7	11	0.311885
18	7	12	0.300707
19	7	13	0.356852
20	7	14	0.343634
19	7	15	0.346769
21	7	16	0.322984
13	8	1	1.090977
13	8	2	0.701554
14	8	3	0.449923
13	8	4	0.454304
15	8	5	0.39027
15	8	6	0.379674
16	8	7	0.333981
15	8	8	0.364095
17	8	9	0.348044
18	8	10	0.375782
16	8	11	0.34318
18	8	12	0.309618
16	8	13	0.355179
18	8	14	0.335964
18	8	15	0.345057
19	8	16	0.38728
12	9	1	1.128948
12	9	2	0.697942
13	9	3	0.44811
13	9	4	0.430677
14	9	5	0.399656
14	9	6	0.369374
14	9	7	0.329371
15	9	8	0.347437
15	9	9	0.336421
16	9	10	0.387034
16	9	11	0.311496
17	9	12	0.332862
15	9	13	0.371758
16	9	14	0.339474
17	9	15	0.346795
19	9	16	0.339153
10	10	1	1.135335
11	10	2	0.6935
11	10	3	0.466001
12	10	4	0.464787
11	10	5	0.426611
14	10	6	0.382032
13	10	7	0.33613
14	10	8	0.383714
13	10	9	0.347818
13	10	10	0.381098
15	10	11	0.333094
16	10	12	0.336663
14	10	13	0.354047
16	10	14	0.328249
16	10	15	0.358486
19	10	16	0.339026
10	11	1	1.102004
10	11	2	0.705822
10	11	3	0.452677
11	11	4	0.439091
11	11	5	0.401381
12	11	6	0.384809
12	11	7	0.347326
12	11	8	0.381432
12	11	9	0.338129
12	11	10	0.381559
14	11	11	0.337509
15	11	12	0.316517
14	11	13	0.339753
15	11	14	0.346029
16	11	15	0.353168
17	11	16	0.341719
9	12	1	1.093551
10	12	2	0.695619
10	12	3	0.444575
10	12	4	0.430743
11	12	5	0.406224
11	12	6	0.379356
12	12	7	0.346153
12	12	8	0.372895
12	12	9	0.324645
12	12	10	0.399646
12	12	11	0.324501
14	12	12	0.333629
13	12	13	0.347428
15	12	14	0.353124
16	12	15	0.368451
16	12	16	0.359027
8	13	1	1.150477
8	13	2	0.723149
9	13	3	0.463181
9	13	4	0.456655
11	13	5	0.407991
10	13	6	0.381178
11	13	7	0.339017
11	13	8	0.38916
11	13	9	0.326131
11	13	10	0.372885
12	13	11	0.335679
12	13	12	0.347576
13	13	13	0.347356
14	13	14	0.349538
15	13	15	0.388915
16	13	16	0.351757
8	14	1	1.159155
8	14	2	0.726539
9	14	3	0.466949
9	14	4	0.464663
10	14	5	0.429385
9	14	6	0.378643
10	14	7	0.353379
11	14	8	0.366223
11	14	9	0.341914
11	14	10	0.39805
11	14	11	0.335001
12	14	12	0.322002
13	14	13	0.335237
14	14	14	0.343078
15	14	15	0.374095
16	14	16	0.354049
7	15	1	1.102502
8	15	2	0.703194
8	15	3	0.453965
9	15	4	0.44261
10	15	5	0.417083
9	15	6	0.398036
9	15	7	0.353155
10	15	8	0.358631
9	15	9	0.34205
11	15	10	0.382667
11	15	11	0.343044
12	15	12	0.339267
13	15	13	0.360715
14	15	14	0.347791
15	15	15	0.355473
16	15	16	0.338194
7	16	1	1.103093
7	16	2	0.702562
8	16	3	0.458183
8	16	4	0.449013
9	16	5	0.41409
9	16	6	0.367321
9	16	7	0.340636
9	16	8	0.360714
9	16	9	0.347256
11	16	10	0.38312
11	16	11	0.340788
12	16	12	0.331836
13	16	13	0.341302
14	16	14	0.339822
15	16	15	0.367586
16	16	16	0.349013
6	17	1	1.122148
7	17	2	0.702757
7	17	3	0.463398
8	17	4	0.459006
9	17	5	0.422042
8	17	6	0.383985
9	17	7	0.343896
9	17	8	0.358675
9	17	9	0.35136
11	17	10	0.381344
11	17	11	0.351961
12	17	12	0.347525
13	17	13	0.364139
14	17	14	0.370292
15	17	15	0.364012
16	17	16	0.346853
6	18	1	1.11737
7	18	2	0.696867
7	18	3	0.456579
8	18	4	0.456563
8	18	5	0.414143
8	18	6	0.390476
8	18	7	0.339257
9	18	8	0.367743
9	18	9	0.349178
11	18	10	0.374075
11	18	11	0.34261
12	18	12	0.340297
13	18	13	0.347115
14	18	14	0.355811
15	18	15	0.370811
16	18	16	0.350429
6	19	1	1.113492
6	19	2	0.700503
6	19	3	0.470525
7	19	4	0.453047
6	19	5	0.395949
8	19	6	0.385487
8	19	7	0.339958
9	19	8	0.355898
9	19	9	0.355711
10	19	10	0.386102
11	19	11	0.339422
12	19	12	0.343138
13	19	13	0.355031
14	19	14	0.352454
15	19	15	0.383642
16	19	16	0.379276
5	20	1	1.125054
6	20	2	0.696305
6	20	3	0.457934
7	20	4	0.457098
6	20	5	0.415905
8	20	6	0.380952
7	20	7	0.350122
9	20	8	0.369205
9	20	9	0.344874
10	20	10	0.398501
11	20	11	0.345746
12	20	12	0.338029
13	20	13	0.348843
14	20	14	0.339284
15	20	15	0.374955
16	20	16	0.360695
